组播频道,#genre#
CCTV6,http://113.133.233.177:8011/rtp/239.112.205.223:5140$(陕西渭南2)
CCTV7,http://113.133.233.177:8011/rtp/239.112.205.83:5140$(陕西渭南2)
CCTV8,http://113.133.233.177:8011/rtp/239.112.205.224:5140$(陕西渭南2)
CCTV9,http://113.133.233.177:8011/rtp/239.112.205.85:5140$(陕西渭南2)
CCTV10,http://113.133.233.177:8011/rtp/239.112.205.86:5140$(陕西渭南2)
CCTV11,http://113.133.233.177:8011/rtp/239.112.205.213:5140$(陕西渭南2)
CCTV12,http://113.133.233.177:8011/rtp/239.112.205.88:5140$(陕西渭南2)
CCTV14,http://113.133.233.177:8011/rtp/239.112.205.91:5140$(陕西渭南2)
CCTV15,http://113.133.233.177:8011/rtp/239.112.205.214:5140$(陕西渭南2)
CCTV16,http://113.133.233.177:8011/rtp/239.111.205.134:5140$(陕西渭南2)
CCTV17,http://113.133.233.177:8011/rtp/239.112.205.211:5140$(陕西渭南2)

CCTV1,http://221.218.212.142:8012/rtp/239.3.1.129:8008$(北京1)
CCTV2,http://221.218.212.142:8012/rtp/239.3.1.60:8084$(北京1)
CCTV3,http://221.218.212.142:8012/rtp/239.3.1.172:8001$(北京1)
CCTV4,http://221.218.212.142:8012/rtp/239.3.1.105:8092$(北京1)
CCTV5,http://221.218.212.142:8012/rtp/239.3.1.173:8001$(北京1)
CCTV5+,http://221.218.212.142:8012/rtp/239.3.1.130:8004$(北京1)
CCTV6,http://221.218.212.142:8012/rtp/239.3.1.174:8001$(北京1)
CCTV7,http://221.218.212.142:8012/rtp/239.3.1.61:8104$(北京1)
CCTV8,http://221.218.212.142:8012/rtp/239.3.1.175:8001$(北京1)
CCTV9,http://221.218.212.142:8012/rtp/239.3.1.62:8112$(北京1)
CCTV10,http://221.218.212.142:8012/rtp/239.3.1.63:8116$(北京1)
CCTV11,http://221.218.212.142:8012/rtp/239.3.1.152:8120$(北京1)
